p cnf 60 800
-49 -10 -55 0
-5 -27 -58 0
-4 20 22 0
19 30 -26 0
-58 39 -23 0
15 -48 45 0
-8 -41 24 0
56 -34 31 0
-22 -15 36 0
48 -51 -37 0
19 -1 43 0
-50 -40 37 0
32 -1 58 0
-51 -38 50 0
36 9 60 0
-51 -48 -26 0
28 14 50 0
-38 48 -36 0
-26 -4 18 0
-4 12 18 0
3 -42 20 0
-44 -26 57 0
15 -32 20 0
-42 4 -9 0
52 -28 45 0
44 -40 -16 0
-46 38 -12 0
11 15 12 0
58 47 33 0
-4 2 -17 0
-51 -26 -28 0
4 31 47 0
-29 -30 25 0
-42 -11 24 0
-17 4 9 0
11 25 31 0
3 -17 28 0
19 46 -49 0
-46 -37 15 0
-58 -4 -20 0
-1 9 -54 0
-1 7 47 0
38 -47 4 0
9 -7 -38 0
60 58 42 0
17 -39 49 0
-13 49 -17 0
-23 -18 -58 0
-7 -51 53 0
-40 8 -52 0
-24 2 33 0
24 20 -33 0
47 32 2 0
5 22 21 0
-17 37 -48 0
-4 23 14 0
35 -43 24 0
2 -28 13 0
3 -1 22 0
-1 58 23 0
-48 -34 -41 0
-11 30 -25 0
17 -57 -41 0
-7 -33 -37 0
37 -58 -29 0
-5 -43 -47 0
-24 -20 14 0
52 13 5 0
-43 -9 12 0
-19 55 -21 0
-1 -6 55 0
9 -16 32 0
-45 44 39 0
42 -21 27 0
49 -32 13 0
40 -14 -30 0
-52 10 40 0
56 -11 2 0
-6 36 -30 0
28 23 35 0
1 -49 -43 0
52 -1 -4 0
16 26 -23 0
29 10 23 0
-50 -48 -36 0
-27 -52 8 0
-6 -41 1 0
-13 -47 16 0
-40 -6 -23 0
-39 51 -21 0
30 24 -8 0
2 -43 -4 0
-37 36 -49 0
-50 -24 36 0
56 -14 58 0
-36 -6 48 0
14 -2 -29 0
-9 -3 26 0
-38 -47 56 0
57 43 11 0
19 36 1 0
-45 -26 -6 0
-10 -54 18 0
-27 3 -11 0
-32 22 10 0
-43 -55 5 0
-1 -29 -8 0
-47 -33 -45 0
6 -43 -13 0
-6 -42 4 0
-19 50 -38 0
10 8 -15 0
-21 38 -47 0
-60 41 36 0
-7 1 -22 0
29 -8 53 0
-41 -25 8 0
41 -54 -2 0
-3 -18 39 0
14 22 41 0
33 -21 -55 0
10 20 19 0
1 22 42 0
-9 43 -45 0
10 -51 22 0
56 27 -3 0
-28 49 -17 0
-15 -41 43 0
-57 26 -4 0
57 -46 10 0
-43 -10 38 0
43 -11 -39 0
8 46 -23 0
33 10 3 0
31 -55 -54 0
-33 -59 -16 0
-41 -18 4 0
-30 23 35 0
11 -4 -54 0
24 38 -57 0
-26 -29 -19 0
2 49 -25 0
23 59 -54 0
-22 10 1 0
14 -56 -54 0
5 -2 37 0
-33 -5 48 0
27 -24 -45 0
23 10 -13 0
-32 49 56 0
-60 -52 -1 0
-12 36 25 0
-29 9 -57 0
-23 -22 -26 0
43 -17 19 0
44 -31 21 0
10 -56 34 0
-40 -60 -28 0
51 7 -42 0
60 -37 5 0
-26 19 25 0
59 -18 23 0
23 54 10 0
-4 -52 -45 0
14 17 39 0
38 11 2 0
20 27 48 0
-50 -5 -35 0
21 38 -53 0
-57 37 -33 0
35 56 1 0
-23 -19 -7 0
-51 -40 56 0
33 55 -17 0
-19 -54 -12 0
36 -48 -39 0
51 21 24 0
43 40 -6 0
8 -1 -58 0
-50 -57 17 0
-24 -1 -11 0
11 -12 -45 0
16 57 49 0
-11 52 -53 0
-7 -35 12 0
-19 10 9 0
41 51 9 0
6 60 39 0
-7 -46 -34 0
-42 -25 -23 0
-60 -44 -1 0
-51 58 -39 0
-25 -35 27 0
-53 28 -8 0
-25 -24 21 0
-59 -28 44 0
-17 57 51 0
45 10 -23 0
-55 6 47 0
-22 -13 55 0
19 52 -33 0
-54 39 -27 0
22 -59 -10 0
-45 12 23 0
-32 -50 44 0
-20 31 9 0
-4 -50 31 0
13 -29 41 0
47 27 -17 0
-18 37 -28 0
-6 40 38 0
-21 52 -20 0
-22 48 11 0
-38 41 12 0
52 7 -28 0
-43 -22 20 0
59 36 25 0
-1 9 39 0
51 -50 34 0
5 42 31 0
34 -26 -53 0
-58 6 43 0
-33 -1 -41 0
45 49 -24 0
-7 -28 38 0
-15 -35 -45 0
-21 -60 -52 0
-6 24 57 0
-36 -56 49 0
-21 -34 19 0
-42 41 16 0
26 24 -49 0
52 29 58 0
44 -33 -37 0
-44 -35 51 0
-38 -49 -19 0
38 60 -50 0
56 -31 11 0
10 -16 46 0
7 -27 -47 0
-19 58 28 0
-18 -41 -51 0
-26 8 -34 0
-45 -35 -59 0
-28 -39 60 0
5 46 60 0
-55 -21 35 0
-52 2 58 0
38 17 -40 0
-33 -40 -54 0
-19 50 26 0
-15 -45 44 0
15 -16 21 0
-18 -57 -29 0
-29 54 -24 0
23 19 5 0
-38 28 35 0
-4 -57 55 0
-17 -16 -18 0
21 -20 -26 0
-3 -45 50 0
32 48 -6 0
24 20 -33 0
60 -31 -52 0
31 27 5 0
-6 47 -27 0
-4 6 -20 0
-41 -5 46 0
43 -23 -33 0
14 4 -55 0
-60 34 38 0
50 -3 -59 0
26 -1 -57 0
44 -59 21 0
19 -13 -40 0
-42 35 11 0
35 -49 56 0
-47 22 18 0
16 -28 -17 0
-55 -15 11 0
-37 43 13 0
43 -20 42 0
16 -20 -34 0
3 -23 10 0
-54 -36 -26 0
6 58 -7 0
6 -44 -8 0
44 5 -6 0
3 -52 -43 0
-57 -32 -44 0
15 -18 52 0
-59 1 -8 0
-13 22 43 0
41 -16 -57 0
-26 55 34 0
-44 -37 27 0
-38 -4 -57 0
15 -49 -36 0
-30 -33 -39 0
-40 16 -46 0
59 4 -28 0
60 38 -25 0
-51 -41 -10 0
-42 41 -47 0
35 21 5 0
-17 -40 5 0
-6 -49 -50 0
21 53 -37 0
-49 9 -60 0
-14 56 19 0
47 23 -31 0
13 54 -31 0
46 -2 -36 0
-15 -3 45 0
56 60 7 0
-13 -40 -49 0
-32 -22 -42 0
-1 -19 23 0
46 4 -25 0
-2 -8 -31 0
-24 -44 6 0
-37 -51 -2 0
30 36 -24 0
-24 -19 -16 0
-40 -42 56 0
-53 -35 -49 0
-20 -35 -9 0
49 -50 18 0
11 14 57 0
27 18 -3 0
22 -51 50 0
8 47 -60 0
-13 -8 37 0
-40 13 2 0
25 50 33 0
6 -52 -35 0
55 47 -39 0
29 -27 36 0
56 40 20 0
44 21 -16 0
-47 10 -30 0
-59 -47 -56 0
34 12 -3 0
-28 10 -50 0
-11 -53 10 0
18 54 7 0
-33 -55 -50 0
1 -3 -22 0
-13 -53 -49 0
42 35 -46 0
51 -31 -26 0
21 -50 16 0
-33 42 -16 0
20 -10 -8 0
19 10 43 0
-6 -55 -5 0
-26 -47 -27 0
5 -55 -43 0
-34 -58 26 0
13 51 -1 0
47 -14 21 0
54 -53 42 0
-32 40 54 0
-38 -51 -11 0
20 8 58 0
-3 46 6 0
-43 -15 -9 0
-24 34 -27 0
38 -2 24 0
-18 -39 -36 0
-56 52 17 0
-17 -15 43 0
-37 38 -59 0
-53 21 -38 0
-43 32 -40 0
23 -41 35 0
3 30 -50 0
-3 -57 56 0
31 12 -49 0
5 -12 44 0
2 6 45 0
5 -45 -30 0
-2 -28 -55 0
4 -15 58 0
-5 -55 51 0
12 -48 9 0
-8 40 46 0
27 5 -6 0
-53 -40 -37 0
41 -44 -25 0
-53 -15 8 0
-46 -12 8 0
-50 -4 43 0
43 -45 30 0
-27 -15 -9 0
-58 55 -21 0
37 -20 -47 0
-50 -11 46 0
-42 -59 -2 0
32 -23 -31 0
12 6 -47 0
-45 -22 24 0
16 -60 21 0
40 -22 18 0
-40 -47 -33 0
45 -32 49 0
21 36 -50 0
31 8 58 0
39 30 2 0
-4 20 -32 0
21 29 44 0
45 -21 12 0
58 2 -11 0
49 -9 -28 0
6 42 -46 0
-47 -18 56 0
35 -27 32 0
-53 10 -12 0
60 15 47 0
-48 47 53 0
53 52 42 0
13 2 -33 0
-18 45 36 0
-24 20 42 0
-53 -8 52 0
-56 53 49 0
-34 18 -20 0
-41 56 -44 0
-39 -6 17 0
-20 -39 -6 0
13 11 -4 0
-11 36 -46 0
48 -28 21 0
-11 2 -51 0
3 28 -55 0
12 -24 29 0
45 56 29 0
-23 52 50 0
-30 25 -7 0
-1 36 -21 0
47 36 40 0
