p cnf 200 400
166 14 97 0
-131 -126 -134 0
110 -161 123 0
62 9 17 0
-135 -82 77 0
120 37 -77 0
169 28 -136 0
107 69 -11 0
199 96 -178 0
81 -138 47 0
-171 -84 4 0
60 76 166 0
-144 175 150 0
-155 -179 -133 0
-178 191 182 0
124 -173 -51 0
15 189 -33 0
-88 95 96 0
19 -15 -131 0
-154 155 -164 0
-142 136 -109 0
-121 93 -8 0
-35 176 97 0
-53 161 -89 0
-54 42 120 0
-100 -41 -79 0
30 -124 -183 0
-61 5 -14 0
-44 -136 -78 0
155 -157 199 0
-199 41 85 0
45 -13 -188 0
-127 175 -52 0
149 41 112 0
-80 142 15 0
151 36 54 0
-25 83 -63 0
155 -107 48 0
-67 28 61 0
14 187 -109 0
-41 95 -166 0
157 -50 -36 0
10 -86 101 0
-185 -112 -62 0
19 -196 -89 0
-46 -125 157 0
-20 -105 -154 0
-39 131 164 0
88 161 43 0
47 118 -112 0
137 -56 -39 0
104 197 -100 0
-157 47 40 0
-175 -75 -87 0
31 99 26 0
-151 -136 8 0
-119 -1 -193 0
-175 -164 5 0
-198 -194 73 0
-115 -8 70 0
-174 127 -103 0
-158 110 150 0
133 198 192 0
127 187 118 0
39 148 147 0
-63 7 3 0
78 -155 141 0
162 -142 -136 0
60 37 62 0
150 167 -13 0
187 74 -166 0
85 -190 128 0
36 -8 -172 0
-162 -197 156 0
-66 -18 -58 0
28 -49 46 0
-15 -14 193 0
-197 22 181 0
45 -6 -5 0
28 -71 -191 0
-122 -114 -177 0
141 44 104 0
140 150 91 0
-29 148 -70 0
163 -103 38 0
197 -140 -110 0
-53 -60 37 0
4 -39 1 0
-162 8 -55 0
18 89 108 0
69 80 -143 0
143 -32 -126 0
179 -147 62 0
-108 -124 -41 0
-10 144 -158 0
-140 -9 -24 0
34 122 -97 0
63 -134 102 0
-10 153 66 0
-11 171 -134 0
-65 -5 11 0
-89 -100 8 0
-122 -33 -188 0
-110 -22 -44 0
3 187 -167 0
-182 -13 -58 0
35 -180 -186 0
-176 -17 -155 0
83 -52 -63 0
199 125 -133 0
-69 150 -21 0
-77 -19 -160 0
-171 72 -71 0
175 67 198 0
33 6 36 0
-114 -133 -26 0
69 -179 62 0
147 13 -191 0
-55 51 -10 0
-110 -48 -169 0
167 191 -113 0
-92 70 5 0
158 -63 139 0
-72 177 106 0
-89 -100 -67 0
-183 199 -51 0
-117 -189 -180 0
-58 -50 -149 0
-27 -70 -163 0
169 37 153 0
-143 -96 -153 0
21 -153 -123 0
-40 -157 64 0
155 166 -63 0
-150 131 -134 0
-65 94 -34 0
177 109 127 0
-109 -198 168 0
-38 85 -9 0
108 -69 122 0
-159 -77 -49 0
-50 157 100 0
-92 -167 -182 0
41 132 -86 0
-14 80 28 0
106 166 60 0
-145 -126 -156 0
122 103 85 0
64 134 -111 0
-100 161 -54 0
-190 14 -127 0
126 -172 -107 0
